date,summary,source_url,source
2024-06-24,全国人大常委会将审议金融相关草案，重点完善管理体制与风险防范。,http://finance.eastmoney.com/a/202406243110998724.html,eastmoney_cjzc
2024-06-24,中欧商定就欧盟对华电动汽车反补贴调查案启动磋商。,http://finance.eastmoney.com/a/202406243110998724.html,eastmoney_cjzc
2024-06-24,飞天茅台终端价再次大跌，传闻茅台将取消“拆箱令”以稳定市场价格。,http://finance.eastmoney.com/a/202406243110998724.html,eastmoney_cjzc
2024-06-24,三大交易所IPO受理全部恢复，北交所时隔三个月重启受理。,http://finance.eastmoney.com/a/202406243110998724.html,eastmoney_cjzc
2024-06-24,安徽凤阳、江苏南通等地出台政策，鼓励农村居民退出宅基地进城购房并给予奖补。,http://finance.eastmoney.com/a/202406243110998724.html,eastmoney_cjzc
2024-06-24,李强总理将于6月25日出席在大连举行的第十五届夏季达沃斯论坛。,http://finance.eastmoney.com/a/202406243110998724.html,eastmoney_cjzc
2024-06-24,外交部坚决反对日方对中方企业进行制裁，表示将采取必要措施维护权益。,http://finance.eastmoney.com/a/202406243110998724.html,eastmoney_cjzc
2024-06-24,商务部回应中欧贸易摩擦，称责任完全在欧方，中方不愿看到摩擦升级。,http://finance.eastmoney.com/a/202406243110998724.html,eastmoney_cjzc
2024-06-24,证监会江苏监管局党委书记、局长凌峰因涉嫌严重违纪违法接受调查。,http://finance.eastmoney.com/a/202406243110998724.html,eastmoney_cjzc
2024-06-24,上海及天津首批科技创新和技术改造再贷款支持贷款已有序落地。,http://finance.eastmoney.com/a/202406243110998724.html,eastmoney_cjzc
2024-06-24,本周央行公开市场将有3980亿元逆回购及50亿元央票互换到期。,http://finance.eastmoney.com/a/202406243110998724.html,eastmoney_cjzc
2024-06-24,浙江下达2024年第一批中央基建投资资金，专项用于老龄和托育建设。,http://finance.eastmoney.com/a/202406243110998724.html,eastmoney_cjzc
2024-06-24,气象局将暴雨应急响应提升至二级，预计长江中下游地区进入降雨集中期。,http://finance.eastmoney.com/a/202406243110998724.html,eastmoney_cjzc
